domain,axis,rounds,papers,ref_flag_rate,degenerate,n_pairs_flag,n_wrong_flag,n_pairs_noflag,n_wrong_noflag,eps1,eps0,param_hi,param_lo,eps1_lo,eps1_hi,eps0_lo,eps0_hi
Conflating task,REP,1,5,0,TRUE,0,0,378,0,NA,0,delta_1,delta_0,NA,NA,0,0
Confounding bias,REP,2,3,0,TRUE,0,0,234,0,NA,0,delta_1,delta_0,NA,NA,0,0
Measurement bias,REP,1+2,13,0,TRUE,0,0,2442,0,NA,0,delta_1,delta_0,NA,NA,0,0
Mentioning errors,REP,1,10,0.3,FALSE,196,49,356,28,0.25,0.0786516853932584,delta_1,delta_0,0.0130282583865646,1,0,0.306984773641594
Missing data,REP,1+2,13,0.615384615384615,FALSE,523,153,98,35,0.292543021032505,0.357142857142857,delta_1,delta_0,0.0695798319327731,0.589135045414726,0.069417735042735,0.807692307692308
Random error,REP,1,5,0.333333333333333,FALSE,139,0,468,0,0,0,delta_1,delta_0,0,0,0,0
Selection bias,REP,1+2,13,0.25,FALSE,155,0,892,3,0,0.00336322869955157,delta_1,delta_0,0,0,0,0.012311901504788
Conflating task,VAL,1,5,1,TRUE,174,0,34,34,0,1,epsilon_1,epsilon_0,0,0,1,1
Confounding bias,VAL,2,3,1,TRUE,166,0,28,28,0,1,epsilon_1,epsilon_0,0,0,1,1
Measurement bias,VAL,1+2,13,0.628571428571429,FALSE,1327,86,510,49,0.0648078372268274,0.096078431372549,epsilon_1,epsilon_0,0.0199335548172757,0.112043016032802,0.00581395348837209,0.199800210304942
Mentioning errors,VAL,1,10,0,TRUE,0,0,745,0,NA,0,epsilon_1,epsilon_0,NA,NA,0,0
Missing data,VAL,1+2,13,0,TRUE,0,0,979,0,NA,0,epsilon_1,epsilon_0,NA,NA,0,0
Random error,VAL,1,5,0.333333333333333,FALSE,201,0,376,3,0,0.00797872340425532,epsilon_1,epsilon_0,0,0,0,0.016728624535316
Selection bias,VAL,1+2,13,0.3125,FALSE,353,101,509,30,0.286118980169972,0.0589390962671906,epsilon_1,epsilon_0,0.019212962962963,0.687278409090909,0,0.208637046406831
